Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,"Experimental results showed that the use of ensemble feature space remarkably improved the single-use of syntactic or semantic features, and the proposed LSTM-NN also outperformed the state-of-the-art models for extractive summarization",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated","We provide an inclusive, intelligent, semi-auto-constructed knowledge graph framework HKGB for the medical domain to build knowledge graphs.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated","We analyze the capabilities and requirements of clinicians, design the tasks to involve the clinicians, and implement a clinician-in-the-loop tool set.",IPM,New Algorithm or Method or Technology,Performance Evaluation,0,Performance Evaluation,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated",We design an extensible mechanism to add a new disease to an existing knowledge graph,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated",We present a quantitative effort estimation algorithm to quantitatively evaluate the effort of clinicians who are involved,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated","We create a health knowledge graph HuadingKG by HKGB, and develop three tools to apply HuadingKG in real applications.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A topic modeling framework for spatio-temporal information management,Introducing a robust decision-making procedure for selecting a model to explain the dynamic conversation topics. We design an adaptive framework to use gained knowledge for improving the results over time.,IPM,Model Optimization,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A topic modeling framework for spatio-temporal information management,Using neural network transfer learning techniques to enhance the framework ability to detect unrelated messages over twitter data streams.,IPM,Model Optimization,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A topic modeling framework for spatio-temporal information management,Create an automatic deep cleaning method to enhance the quality of data to perform better classification in a noisy environment.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study,We present an extensive review of the state of the art in misogyny detection.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study,"We propose a state-of-the-art model to detect misogyny in social media, and test it on several benchmark datasets.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study,We investigate the most predictive features to distinguish misogynistic content from not-misogynistic content.,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study,"We investigate the relationship between misogyny and other abusive phenomena by conducting a cross-domain classification setting, leveraging the knowledge transfer from other kinds of hateful language to detect misogyny and vice versa.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study,"We present the results of experiments in a cross-lingual setting, aiming at learning and generalizing knowledge about misogyny over datasets in different languages.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,Information Extraction from Text Intensive and Visually Rich Banking Documents,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,First study to investigate deep learning algorithms in banking document understanding,IPM,New Algorithm or Method or Technology,Theory Proposal,0,Theory Proposal,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,Automation of customer banking order documents reduced cycle times significantly,IPM,Theory Proposal,Applications,0,Applications,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,Investigated traditional and deep learning approaches in noisy text NER,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,Novel graph-based complex relation extraction algorithm outperforms previous methods,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,"N-ary, nested, document-level, and previously indeterminate quantity of complex relations extracted successfully",IPM,Algorithm or Method or Technology Optimization,Applications,0,Applications,,,,,,,,,,,,,,,,,,,
Information Extraction from Text Intensive and Visually Rich Banking Documents,Incorporating document layout information improves performances substantially,IPM,Theory Proposal,Performance Evaluation,0,Performance Evaluation,,,,,,,,,,,,,,,,,,,
An enhanced Tree-LSTM architecture for sentence semantic modeling using typed dependencies,Relation gated LSTM (R-LSTM) architecture that uses an additional control input to regulate the LSTM hidden state,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
An enhanced Tree-LSTM architecture for sentence semantic modeling using typed dependencies,Typed Dependency Tree-LSTM model using R-LSTMs for learning sentence semantic representation over the dependency parse tree.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
An enhanced Tree-LSTM architecture for sentence semantic modeling using typed dependencies,A qualitative analysis of the role of typed dependencies in language understanding,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A unified model for recommendation with selective neighborhood modeling,propose a novel neighborhood-based recommendation model. The core component of the model is a hybrid gated network that is invulnerable to neighborhood noises when exploiting neighborhood information for recommendation,IPM,Model Construction,Model construction,1,Model construction,,,,,,,,,,,,,,,,,,,
A unified model for recommendation with selective neighborhood modeling,"first automatically separates similar neighbors from the dissimilar ones with a thresholding mechanism, and only aggregates those similar neighbors to produce the neighborhood representations. Then, it further filters out noises in the neighborhood by pooling representations of users and their neighborhood while considering the confidence level of the neighborhood information. Therefore, we are able to select the most informative neighbors and encode the credibility of neighborhood information for recommendation.",IPM,Model Construction,Model construction,1,Model construction,,,,,,,,,,,,,,,,,,,
A unified model for recommendation with selective neighborhood modeling,"We explicitly preserve user-neighbor proximity for learning compact user representations. The user-neighbor similarities are captured by predicting users with their neighbors. Since the neighborhood representations are parameterized by the users, neighbors and the target items, user representations are learned by attending to the informative neighbors and specified for the recommendation task. We integrate the hybrid gated network and user-neighbor proximity components into a unified model, where they can mutually complement and reinforce each other to enhance the recommendation performance.",IPM,New Algorithm or Method or Technology,Model Optimization,0,Model Optimization,,,,,,,,,,,,,,,,,,,
