Contributions,Source,Labels,,,,
this paper will focus on presenting the best NER performance achieved to date on full chemical patent corpus,ACL,Resources,,,,
"Our main research contribution is a new neural model that detects ADRs by firstly learning to classify sentiment, using a publicly available corpus of Tweets that is annotated with sentiment information and then using transfer learning to adapt this classifier to the detection of ADRs in social media postings",ACL,Theory Proposal,,,,
This work instead examines the evolution in biomedical knowledge over time using scientific literature in terms of diachronic change.,ACL,Performance Evaluation,,,,
"we present our approach towards extracting outcomes, significance levels and relations between them, that can be incorporated into a spin detection pipeline",ACL,Algorithm or Method or Technology Optimization,,,,
"In this paper, we describe the tasks, the datasets, and the participants’ approaches and results of shared task.",ACL,Theory Proposal,,,,
"we demonstrate that we can achieve significant performance gains over traditional deep learning models like ESIM by adapting pre-trained language
models into the medical domain",ACL,Model Construction,,,,
"we introduce an end-to-end system, trained in a multi-task setting, to filter
and re-rank answers in medical domain",ACL,Theory Proposal,,,,
we investigate different methods to combine and transfer the knowledge from the two different sources and illustrate our results on the MEDIQA shared task,ACL,Performance Evaluation,,,,
We apply the transfer learning method with two general domain NLI datasets and show that a source task in a domain can benefit learning a target task in a different domain,ACL,Model Optimization,,,,
We show the independent strengths of the proposed approaches in quantitative and qualitative manners,ACL,Performance Evaluation,,,,
"we propose a hybrid approach to biomedical NLI, which includes three main components",ACL,New Algorithm or Method or Technology,,,,
"To enhance our model, we also use model ensemble and conflict resolution strategies",ACL,Model Optimization,,,,
we specialize our model on the MedNLI dataset.,ACL,Model Optimization,,,,
"In this paper, we propose a novel model called Adversarial Multi-Task Network (AMTN) for jointly modeling Recognizing Question Entailment (RQE) and medical Question Answering (QA) tasks.",ACL,Model Construction,,,,
"Our approach for both task 1 and task 2 is based on the state-of-the-art natural language understanding model MT-DNN (Liu et al., 2019), which combines the strength of multi-task learning (MTL) and language model pre-training. MTL in deep networks has shown performance gains when related tasks are trained together resulting in better generalization to new domains",ACL,Theory Proposal,,,,
This paper presents a multi-task learning approach to natural language inference (NLI) and question entailment (RQE) in the biomedical domain,ACL,Theory Proposal,,,,
we present our novel approach to detect question entailment by determining the type of question asked rather than focusing on the type of the ailment given,ACL,Model Construction,,,,
"we detail our approach in MEDIQA which addresses some of the problems with biomedical text such as utilising deep contextual relationships between words within a sentence for semantic understanding and ambiguity associated with esoteric terminology, abbreviations, and patient colloquialism",ACL,Model Construction,,,,
we present Biomedical MultiTask Deep Neural Network (Bio-MTDNN) on the NLI task of MediQA 2019 challenge,ACL,Applications,,,,
we describe our proposed model and the implementation details for both tasks,ACL,Model Construction,,,,
"This paper describes our approach to the Natural Language Inference (NLI) subtask of the MEDIQA 2019 shared task (Ben Abacha et al., 2019)",ACL,Theory Proposal,,,,
This paper explores the use of Bidirectional Encoder Representation from Transformer (BERT) for solving MedNLI,ACL,Theory Proposal,,,,
" Our proposed systems produce
encouraging results",ACL,Performance Evaluation,,,,
